PING learnenough.com (104.25.169.34) 56(84) bytes of data.
64 bytes from 104.25.169.34: icmp_seq=1 ttl=54 time=35.4 ms
64 bytes from 104.25.169.34: icmp_seq=2 ttl=54 time=15.3 ms
64 bytes from 104.25.169.34: icmp_seq=3 ttl=54 time=17.7 ms
64 bytes from 104.25.169.34: icmp_seq=4 ttl=54 time=18.0 ms
64 bytes from 104.25.169.34: icmp_seq=5 ttl=54 time=16.3 ms
64 bytes from 104.25.169.34: icmp_seq=6 ttl=54 time=17.7 ms
64 bytes from 104.25.169.34: icmp_seq=7 ttl=54 time=18.1 ms
64 bytes from 104.25.169.34: icmp_seq=8 ttl=54 time=27.1 ms
64 bytes from 104.25.169.34: icmp_seq=9 ttl=54 time=17.4 ms
64 bytes from 104.25.169.34: icmp_seq=10 ttl=54 time=19.5 ms
64 bytes from 104.25.169.34: icmp_seq=11 ttl=54 time=29.2 ms
64 bytes from 104.25.169.34: icmp_seq=12 ttl=54 time=34.4 ms
64 bytes from 104.25.169.34: icmp_seq=13 ttl=54 time=27.5 ms
64 bytes from 104.25.169.34: icmp_seq=14 ttl=54 time=21.4 ms
64 bytes from 104.25.169.34: icmp_seq=15 ttl=54 time=13.6 ms
64 bytes from 104.25.169.34: icmp_seq=16 ttl=54 time=30.5 ms
64 bytes from 104.25.169.34: icmp_seq=17 ttl=54 time=16.2 ms
64 bytes from 104.25.169.34: icmp_seq=18 ttl=54 time=16.9 ms
64 bytes from 104.25.169.34: icmp_seq=19 ttl=54 time=28.5 ms
64 bytes from 104.25.169.34: icmp_seq=20 ttl=54 time=18.5 ms
64 bytes from 104.25.169.34: icmp_seq=21 ttl=54 time=14.9 ms
64 bytes from 104.25.169.34: icmp_seq=22 ttl=54 time=14.6 ms
64 bytes from 104.25.169.34: icmp_seq=23 ttl=54 time=16.1 ms
64 bytes from 104.25.169.34: icmp_seq=24 ttl=54 time=15.5 ms
64 bytes from 104.25.169.34: icmp_seq=25 ttl=54 time=13.5 ms
64 bytes from 104.25.169.34: icmp_seq=26 ttl=54 time=16.5 ms
64 bytes from 104.25.169.34: icmp_seq=27 ttl=54 time=30.4 ms
64 bytes from 104.25.169.34: icmp_seq=28 ttl=54 time=16.3 ms
64 bytes from 104.25.169.34: icmp_seq=29 ttl=54 time=15.5 ms
64 bytes from 104.25.169.34: icmp_seq=30 ttl=54 time=15.3 ms
64 bytes from 104.25.169.34: icmp_seq=31 ttl=54 time=18.0 ms
64 bytes from 104.25.169.34: icmp_seq=32 ttl=54 time=14.3 ms
64 bytes from 104.25.169.34: icmp_seq=33 ttl=54 time=17.1 ms
64 bytes from 104.25.169.34: icmp_seq=34 ttl=54 time=15.9 ms
64 bytes from 104.25.169.34: icmp_seq=35 ttl=54 time=16.0 ms
64 bytes from 104.25.169.34: icmp_seq=36 ttl=54 time=16.1 ms
64 bytes from 104.25.169.34: icmp_seq=37 ttl=54 time=15.2 ms
64 bytes from 104.25.169.34: icmp_seq=38 ttl=54 time=25.1 ms
64 bytes from 104.25.169.34: icmp_seq=39 ttl=54 time=17.8 ms
64 bytes from 104.25.169.34: icmp_seq=40 ttl=54 time=14.5 ms
64 bytes from 104.25.169.34: icmp_seq=41 ttl=54 time=17.0 ms
64 bytes from 104.25.169.34: icmp_seq=42 ttl=54 time=19.6 ms
64 bytes from 104.25.169.34: icmp_seq=43 ttl=54 time=16.8 ms
64 bytes from 104.25.169.34: icmp_seq=44 ttl=54 time=28.7 ms
64 bytes from 104.25.169.34: icmp_seq=45 ttl=54 time=17.1 ms
64 bytes from 104.25.169.34: icmp_seq=46 ttl=54 time=16.1 ms
64 bytes from 104.25.169.34: icmp_seq=47 ttl=54 time=18.5 ms
64 bytes from 104.25.169.34: icmp_seq=48 ttl=54 time=14.7 ms
64 bytes from 104.25.169.34: icmp_seq=49 ttl=54 time=14.9 ms
64 bytes from 104.25.169.34: icmp_seq=50 ttl=54 time=15.5 ms
64 bytes from 104.25.169.34: icmp_seq=51 ttl=54 time=14.3 ms
64 bytes from 104.25.169.34: icmp_seq=52 ttl=54 time=19.2 ms
64 bytes from 104.25.169.34: icmp_seq=53 ttl=54 time=15.2 ms
64 bytes from 104.25.169.34: icmp_seq=54 ttl=54 time=17.7 ms
64 bytes from 104.25.169.34: icmp_seq=55 ttl=54 time=14.5 ms
64 bytes from 104.25.169.34: icmp_seq=56 ttl=54 time=14.5 ms
64 bytes from 104.25.169.34: icmp_seq=57 ttl=54 time=17.7 ms
64 bytes from 104.25.169.34: icmp_seq=58 ttl=54 time=17.4 ms
64 bytes from 104.25.169.34: icmp_seq=59 ttl=54 time=16.3 ms
64 bytes from 104.25.169.34: icmp_seq=60 ttl=54 time=14.4 ms
64 bytes from 104.25.169.34: icmp_seq=61 ttl=54 time=40.6 ms
64 bytes from 104.25.169.34: icmp_seq=62 ttl=54 time=20.4 ms
64 bytes from 104.25.169.34: icmp_seq=63 ttl=54 time=14.6 ms
64 bytes from 104.25.169.34: icmp_seq=64 ttl=54 time=30.3 ms
64 bytes from 104.25.169.34: icmp_seq=65 ttl=54 time=26.3 ms
64 bytes from 104.25.169.34: icmp_seq=66 ttl=54 time=16.2 ms
64 bytes from 104.25.169.34: icmp_seq=67 ttl=54 time=17.0 ms
64 bytes from 104.25.169.34: icmp_seq=68 ttl=54 time=13.4 ms
